Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,target_goals_home,target_goals_away,target_shots_home,target_shots_away,target_shots_on_home,target_shots_on_away,target_corners_home,target_corners_away,target_fouls_home,target_fouls_away,target_yellows_home,target_yellows_away,target_reds_home,target_reds_away,shots_home_last5_mean,fouls_home_last5_mean,corners_home_last5_mean,shots_away_last5_mean,fouls_away_last5_mean,corners_away_last5_mean,shots_home_vs_away,fouls_home_vs_away,corners_home_vs_away,avg_shots_against_home,avg_fouls_against_home,avg_corners_against_home,avg_shots_against_away,avg_fouls_against_away,avg_corners_against_away,elo_home,elo_away,elo_diff,elo_all,elo_weak_threshold,elo_strong_threshold,opponent_strength_home,opponent_strength_away,mask_HomeTeam_weak,mask_HomeTeam_average,mask_HomeTeam_strong,goals_vs_weak_home,goals_vs_average_home,goals_vs_strong_home,shots_vs_weak_home,shots_vs_average_home,shots_vs_strong_home,shots_on_vs_weak_home,shots_on_vs_average_home,shots_on_vs_strong_home,mask_AwayTeam_weak,mask_AwayTeam_average,mask_AwayTeam_strong,goals_vs_weak_away,goals_vs_average_away,goals_vs_strong_away,shots_vs_weak_away,shots_vs_average_away,shots_vs_strong_away,shots_on_vs_weak_away,shots_on_vs_average_away,shots_on_vs_strong_away,conversion_vs_weak_home,efficiency_vs_weak_home,conversion_vs_average_home,efficiency_vs_average_home,conversion_vs_strong_home,efficiency_vs_strong_home,conversion_vs_weak_away,efficiency_vs_weak_away,conversion_vs_average_away,efficiency_vs_average_away,conversion_vs_strong_away,efficiency_vs_strong_away
N1,2020-10-24,17:45,Utrecht,Twente,2,1,H,1,1,D,12,9,5,3,7,13,7,4,1,4,0,0,1.6,2.31,2,1,12,9,5,3,7,4,7,13,1,4,0,0,,,,,,,,,,11.323076923076922,10.307692307692308,3.338461538461538,12.646153846153847,10.953846153846154,5.046153846153846,1515.0279418374187,1514.3806920701602,0.6472497672584723,1514.7043169537894,1500.0,1500.1617999978835,strong,strong,False,False,True,,,2.0,,,25.0,,,6.5,False,False,True,3.0,,,16.0,,,8.0,,,,,,,0.07996801279488204,0.30721966205837176,0.1873828856964397,0.37453183520599254,,,,
N1,2020-10-24,19:00,Zwolle,Willem II,0,0,D,0,0,D,20,12,4,3,12,10,9,3,3,1,1,0,1.7,2.13,0,0,20,12,4,3,9,3,12,10,3,1,1,0,,,,,,,,,,10.766666666666666,10.733333333333334,3.85,14.384615384615385,11.430769230769231,5.476923076923077,1486.2653036276613,1471.2665079213741,14.998795706287183,1478.7659057745177,1497.1271752912269,1500.0517759993227,weak,weak,True,False,False,,,0.0,,,12.0,,,3.0,True,False,False,,,1.0,,,14.0,,,2.0,,,,,0.0,0.0,,,,,0.07137758743754462,0.49751243781094534
N1,2020-10-24,20:00,Heerenveen,FC Emmen,4,0,H,2,0,H,14,9,5,2,6,7,5,8,2,3,0,2,1.57,2.39,4,0,14,9,5,2,5,8,6,7,2,3,0,2,,,,,,,,,,11.385714285714286,10.657142857142857,4.171428571428572,13.333333333333334,11.049999999999999,5.3,1499.3249124299562,1499.3528000084657,-0.02788757850953516,1499.3388562192108,1498.7827538647448,1500.0,average,average,False,True,False,,,1.0,,,16.0,,,8.0,False,True,False,,,1.0,,,7.0,,,2.0,,,,,0.062460961898813235,0.12484394506866417,,,,,0.14265335235378032,0.49751243781094534
N1,2020-10-25,11:15,For Sittard,Groningen,1,3,A,0,2,A,5,17,2,10,12,8,1,6,1,1,0,0,1.85,1.94,1,3,5,17,2,10,1,6,12,8,1,1,0,0,,,,,,,,,,12.783333333333333,10.533333333333333,4.916666666666667,13.116666666666667,11.4,5.116666666666666,1485.6471999915343,1515.6192581541156,-29.972058162581334,1500.633229072825,1499.4975307266002,1500.1553279979682,strong,weak,False,False,True,,,,,,,,,,True,False,False,,,,,,,,,,,,,,,,,,,,,
N1,2020-10-25,19:00,Den Haag,AZ Alkmaar,2,2,D,0,1,A,9,23,3,7,8,6,3,8,2,1,0,0,1.6,2.31,2,2,9,23,3,7,3,8,8,6,2,1,0,0,,,,,,,,,,13.076923076923077,10.307692307692308,4.8769230769230765,12.75,11.15,4.8,1485.0279418374187,1498.7080052393337,-13.68006340191505,1491.8679735383762,1496.681922747873,1500.0453039994075,average,weak,False,True,False,,,0.0,,,11.0,,,4.0,True,False,False,,,4.0,,,15.0,,,6.0,,,,,0.0,0.0,,,,,0.2664890073284477,0.6655574043261232
N1,2020-10-25,13:30,Sparta Rotterdam,Heracles,1,1,D,0,0,D,10,19,5,2,13,12,4,9,2,3,1,0,1.69,2.16,1,1,10,19,5,2,4,9,13,12,2,3,1,0,,,,,,,,,,11.890909090909092,10.127272727272727,4.254545454545454,12.846153846153847,10.676923076923078,5.184615384615385,1501.264255770038,1469.3807418458844,31.883513924153704,1485.3224988079612,1493.126307052206,1500.0,weak,strong,True,False,False,,,4.0,,,17.0,,,7.0,False,False,True,0.0,,,3.0,,,0.0,,,,,,,0.23515579071134624,0.5706134094151213,0.0,0.0,,,,
N1,2020-10-25,15:45,Waalwijk,Feyenoord,2,2,D,0,0,D,8,18,6,8,19,8,2,3,2,2,0,0,1.41,2.83,2,2,8,18,6,8,2,3,19,8,2,2,0,0,,,,,,,,,,10.984615384615385,11.076923076923077,4.184615384615385,13.399999999999999,11.338461538461539,5.846153846153846,1499.3539545264543,1528.0885442384276,-28.734589711973285,1513.7212493824409,1494.581091631001,1500.1488559980528,strong,average,False,False,True,1.0,,,11.0,,,3.0,,,False,True,False,,,4.0,,,16.0,,,8.0,0.09082652134423251,0.33222591362126247,,,,,,,,,0.24984384759525294,0.4993757802746567
N1,2020-10-25,13:30,Vitesse,PSV Eindhoven,2,1,H,1,0,H,7,12,5,4,13,13,4,5,3,0,0,0,1.61,2.28,2,1,7,12,5,4,4,5,13,13,3,0,0,0,,,,,,,,,,11.566666666666668,10.916666666666666,4.8500000000000005,12.583333333333334,10.533333333333333,5.15,1515.6192581541156,1529.3528000084657,-13.733541854350051,1522.4860290812908,1496.6201335973767,1500.3607554850141,strong,strong,False,False,True,,,3.0,,,15.0,,,7.0,False,False,True,,3.0,1.0,,12.0,9.0,,5.0,2.0,,,,,0.19986675549633579,0.42796005706134094,,,0.2497918401332223,0.5988023952095809,0.11098779134295228,0.49751243781094534
N1,2020-10-31,17:45,Twente,Zwolle,5,1,H,3,0,H,8,10,5,5,14,11,5,4,1,0,0,0,1.69,2.16,5,1,8,10,5,5,5,4,14,11,1,0,0,0,,,,,,,,,,12.816666666666668,10.866666666666667,4.3,13.549999999999999,10.416666666666666,5.383333333333333,1499.4086360565623,1485.6181555328808,13.790480523681481,1492.5133957947214,1493.1229436404676,1500.2524079966984,weak,average,True,False,False,,,1.0,,,17.0,,,7.0,False,True,False,1.0,,,21.0,,,6.0,,,,,,,0.05878894767783656,0.14265335235378032,0.047596382674916705,0.1663893510815308,,,,
N1,2020-10-31,19:00,Ajax,For Sittard,5,2,H,2,1,H,30,11,9,7,12,11,7,0,0,1,0,0,1.14,5.39,5,2,30,11,9,7,7,0,12,11,0,1,0,0,,,,,,,,,,12.345454545454546,10.4,4.309090909090909,12.96923076923077,11.215384615384616,4.861538461538462,1528.1495682943928,1471.9379973475654,56.21157094682735,1500.0437828209792,1494.5193024805048,1500.166902377886,weak,strong,True,False,False,,,3.5,,,17.0,,,4.5,False,False,True,,2.0,0.0,,15.0,16.0,,5.0,5.0,,,,,0.20576131687242796,0.7760532150776054,,,0.13324450366422386,0.3992015968063872,0.0,0.0
